T,,B,,C11,C12,,C13,,C33,,C44,,C66
649,,767.900681925,,1355.1132154,513.102068727,,460.757417466,,1335.48813328,,274.36836726,,290.935847276
652,,767.121567033,,1354.12608889,512.589962773,,460.047193229,,1334.35375983,,274.288532812,,290.873269356
655,,766.34638726,,1353.14485847,512.089307632,,459.335889824,,1333.22586706,,274.212731262,,290.815805877
658,,765.574936488,,1352.16930737,511.599684361,,458.623380832,,1332.10435231,,274.140792195,,290.763185748
661,,764.807020928,,1351.19923205,511.120699391,,457.909545809,,1330.9891246,,274.072553816,,290.715150933
664,,764.042456425,,1350.23444212,510.651977912,,457.194268811,,1329.88009965,,274.007863231,,290.67145647
667,,763.281069255,,1349.27475833,510.193168629,,456.477438018,,1328.77720304,,273.946575,,290.631868836
670,,762.522694735,,1348.32001247,509.743936707,,455.758947048,,1327.68036629,,273.888550929,,290.596165207
673,,761.767176704,,1347.37004656,509.30396571,,455.038693149,,1326.58952746,,273.83365994,,290.564133354
676,,761.01436652,,1346.42471167,508.872954593,,454.316577267,,1325.50462981,,273.781776729,,290.535569878
679,,760.264124078,,1345.48386765,508.45061819,,453.59250569,,1324.42562374,,273.732782476,,290.510280574
682,,759.516315084,,1344.54738211,508.036685463,,452.866386689,,1323.35246172,,273.686563256,,290.488079199
685,,758.770811945,,1343.6151302,507.630897849,,452.138132285,,1322.28510223,,273.643010816,,290.468787203
688,,758.027493654,,1342.6869946,507.233009111,,451.407659002,,1321.2235063,,273.602021356,,290.452233259
691,,757.28624483,,1341.76286408,506.842785577,,450.674885616,,1320.1676402,,273.563495951,,290.438252809
694,,756.546954796,,1340.84263344,506.46000316,,449.939733673,,1319.11747105,,273.527339532,,290.426687364
697,,755.809519016,,1339.92620377,506.084448782,,449.202129107,,1318.07296979,,273.49346124,,290.417384536
700,,755.07383667,,1339.0134805,505.715918127,,448.461999428,,1317.03410904,,273.461773898,,290.410197353
703,,754.339812151,,1338.10437512,505.354216604,,447.719275221,,1316.00086506,,273.432193983,,290.404984308
706,,753.607353986,,1337.19880342,504.99915718,,446.973890569,,1314.97321422,,273.404641167,,290.401608412
709,,752.876374092,,1336.29668508,504.650561918,,446.225780573,,1313.95113419,,273.379038014,,290.399937523
712,,752.146789032,,1335.3979449,504.308258222,,445.474884443,,1312.93460701,,273.355310717,,290.399843933
715,,751.418518129,,1334.50251026,503.972083101,,444.721142527,,1311.92361186,,273.333387434,,290.401203941
718,,750.691484614,,1333.6103133,503.641877676,,443.964498382,,1310.91813231,,273.313199365,,290.403897745
721,,749.965614931,,1332.72128931,503.317491476,,443.204897642,,1309.91815043,,273.294680479,,290.407809121
724,,749.240838204,,1331.83537629,502.998778977,,442.442287825,,1308.92364973,,273.277766378,,290.412825567
727,,748.517086678,,1330.95251582,502.68559907,,441.676619444,,1307.93461402,,273.262395381,,290.418837572
730,,747.794295327,,1330.07265197,502.377818732,,440.907843467,,1306.95102936,,273.248507751,,290.425738933
733,,747.072401889,,1329.19573165,502.075307286,,440.135915365,,1305.97287852,,273.236045875,,290.433426416
736,,746.351345766,,1328.3217041,501.777939749,,439.360790089,,1305.0001458,,273.224954125,,290.4417994
739,,745.631069521,,1327.45052098,501.485595597,,438.582425717,,1304.03281756,,273.215178013,,290.45076016
742,,744.911518079,,1326.58213615,501.198158515,,437.800783444,,1303.07087672,,273.206665353,,290.460213346
745,,744.19263771,,1325.71650555,500.915516784,,437.015824001,,1302.11430727,,273.199365518,,290.470066053
748,,743.474377446,,1324.85358744,500.637561058,,436.227511447,,1301.163095,,273.193228992,,290.480227691
751,,742.756687637,,1323.99334123,500.36418679,,435.435811475,,1300.21722022,,273.188208367,,290.490609744
754,,742.039521199,,1323.1357283,500.095292895,,434.64069137,,1299.27666848,,273.184256898,,290.501125898
757,,741.322831838,,1322.28071197,499.830780281,,433.842119653,,1298.34142049,,273.181329645,,290.511691808
760,,740.606576249,,1321.42825701,499.570554546,,433.040068161,,1297.41145825,,273.179382655,,290.522224948
763,,739.890711372,,1320.57832893,499.314523571,,432.234508384,,1296.4867617,,273.178373143,,290.532644626
766,,739.175196435,,1319.73089509,499.062598277,,431.425414618,,1295.56731054,,273.178259548,,290.542871802
769,,738.459992443,,1318.8859245,498.814691065,,430.612763327,,1294.65308527,,273.179001206,,290.552829145
772,,737.745060824,,1318.04338644,498.570718002,,429.796531301,,1293.74406188,,273.180558985,,290.56244097
775,,737.030365089,,1317.20325227,498.330597055,,428.976697691,,1292.84021762,,273.182893828,,290.571633033
778,,736.315870243,,1316.36549338,498.094249601,,428.153243382,,1291.94152935,,273.185968308,,290.5803324
781,,735.601541664,,1315.53008287,497.861597634,,427.32614997,,1291.04797037,,273.189745446,,290.588467732
784,,734.887346763,,1314.69699397,497.632566038,,426.495401986,,1290.15951429,,273.194189154,,290.595968861
787,,734.173253677,,1313.86620149,497.4070815,,425.660984371,,1289.2761332,,273.199264407,,290.602767007
790,,733.459231563,,1313.0376807,497.185072669,,424.822883539,,1288.3977979,,273.20493667,,290.608794512
793,,732.745251072,,1312.21140707,496.966469596,,423.981088743,,1287.52447781,,273.211171996,,290.613984877
796,,732.031283195,,1311.3873577,496.75120439,,423.135588907,,1286.65614015,,273.217937225,,290.618272887
